top - 04:21:44 up 58 min,  1 user,  load average: 3,38, 2,36, 1,43
Threads: 1194 total,   7 em exec., 1186 dormindo,   0 parado,   1 zumbi
%CPU(s): 96,8 us,  3,2 sy,  0,0 ni,  0,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :  11410,8 total,    617,3 free,   6535,4 used,   4149,1 buff/cache     
MB swap:   3079,0 total,   3078,4 free,      0,6 used.   4875,4 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
     72 root      20   0       0      0      0 S   0,0   0,0   0:00.78 kswapd0
     73 root      20   0       0      0      0 S   0,0   0,0   0:00.00 ecryptf+
     74 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     75 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     78 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     79 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     80 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
     88 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    305 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    306 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    307 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    308 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    309 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    310 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    311 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    312 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    313 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
    314 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
    315 root      20   0       0      0      0 S   0,0   0,0   0:00.00 scsi_eh+
