top - 04:21:44 up 58 min,  1 user,  load average: 3,38, 2,36, 1,43
Threads: 1194 total,   7 em exec., 1186 dormindo,   0 parado,   1 zumbi
%CPU(s): 96,8 us,  3,2 sy,  0,0 ni,  0,0 id,  0,0 wa,  0,0 hi,  0,0 si,  0,0 st 
MB mem :  11410,8 total,    617,3 free,   6535,4 used,   4149,1 buff/cache     
MB swap:   3079,0 total,   3078,4 free,      0,6 used.   4875,4 avail mem 

    PID USUARIO   PR  NI    VIRT    RES    SHR S  %CPU  %MEM    TEMPO+ COMANDO
   3040 bruno     20   0  169808  10188   5632 S   0,0   0,1   0:00.00 gdbus
   3036 bruno     20   0  689480  27532   6428 S   0,0   0,2   0:00.00 xdg-doc+
   3099 bruno     20   0  689480  27532   6428 S   0,0   0,2   0:00.00 pool-sp+
   3100 bruno     20   0  689480  27532   6428 S   0,0   0,2   0:00.00 gmain
   3101 bruno     20   0  689480  27532   6428 S   0,0   0,2   0:00.01 gdbus
   3119 bruno     20   0  689480  27532   6428 S   0,0   0,2   0:00.00 fuse ma+
   3122 bruno     20   0  689480  27532   6428 S   0,0   0,2   0:00.00 fuse_wo+
   3123 bruno     20   0  689480  27532   6428 S   0,0   0,2   0:00.00 fuse_wo+
   3053 bruno     20   0  178484  13872   6952 S   0,0   0,1   0:00.00 gnome-s+
   3196 bruno     20   0  178484  13872   6952 S   0,0   0,1   0:00.00 pool-sp+
   3197 bruno     20   0  178484  13872   6952 S   0,0   0,1   0:00.00 gmain
   3198 bruno     20   0  178484  13872   6952 S   0,0   0,1   0:00.00 gdbus
   3103 bruno     20   0  309172  14604   5980 S   0,0   0,1   0:00.00 xdg-per+
   3108 bruno     20   0  309172  14604   5980 S   0,0   0,1   0:00.00 pool-sp+
   3109 bruno     20   0  309172  14604   5980 S   0,0   0,1   0:00.00 gmain
   3111 bruno     20   0  309172  14604   5980 S   0,0   0,1   0:00.00 gdbus
   3120 root      20   0    3528   1752   1648 S   0,0   0,0   0:00.00 fusermo+
   3200 bruno     20   0   99420   8580   5864 S   0,0   0,1   0:00.00 gcr-ssh+
   3202 bruno     20   0   99420   8580   5864 S   0,0   0,1   0:00.00 pool-sp+
   3203 bruno     20   0   99420   8580   5864 S   0,0   0,1   0:00.00 gmain
   3201 bruno     20   0   89140   7052   4648 S   0,0   0,1   0:00.00 gnome-s+
   3211 bruno     20   0   89140   7052   4648 S   0,0   0,1   0:00.00 gmain
   3204 bruno     20   0   11120   6216   5288 S   0,0   0,1   0:00.00 ssh-age+
   3212 bruno     20   0  314216  16456   7384 S   0,0   0,1   0:00.01 gvfsd
   3215 bruno     20   0  314216  16456   7384 S   0,0   0,1   0:00.00 pool-sp+
   3216 bruno     20   0  314216  16456   7384 S   0,0   0,1   0:00.00 gmain
   3217 bruno     20   0  314216  16456   7384 S   0,0   0,1   0:00.00 gdbus
   3220 bruno     20   0  423084  22440  10488 S   0,0   0,2   0:00.00 gvfsd-f+
   3223 bruno     20   0  423084  22440  10488 S   0,0   0,2   0:00.00 fuse_wo+
   3224 bruno     20   0  423084  22440  10488 S   0,0   0,2   0:00.00 pool-sp+
   3225 bruno     20   0  423084  22440  10488 S   0,0   0,2   0:00.00 gmain
   3226 bruno     20   0  423084  22440  10488 S   0,0   0,2   0:00.00 gdbus
   3229 bruno     20   0  423084  22440  10488 S   0,0   0,2   0:00.00 gvfs-fu+
   5248 bruno     20   0  423084  22440  10488 S   0,0   0,2   0:00.00 fuse_wo+
   3228 bruno     20   0  705368  36364  13740 S   0,0   0,3   0:00.03 gnome-s+
   3230 bruno     20   0  705368  36364  13740 S   0,0   0,3   0:00.00 pool-sp+
   3231 bruno     20   0  705368  36364  13740 S   0,0   0,3   0:00.00 gmain
   3232 bruno     20   0  705368  36364  13740 S   0,0   0,3   0:00.04 gdbus
   3234 bruno     20   0  705368  36364  13740 S   0,0   0,3   0:00.00 dconf w+
  19346 bruno     20   0  705368  36364  13740 S   0,0   0,3   0:00.00 pool-45
   3244 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.01 pool-sp+
   3245 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.07 gmain
   3247 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:01.55 gdbus
   3255 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 dconf w+
   3256 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.20 JS Help+
   3257 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.03 JS Help+
   3258 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 JS Help+
   3259 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 JS Help+
   3261 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 JS Help+
   3280 bruno      5 -15 5707180 509808 169628 S   0,0   4,4   0:17.72 KMS thr+
   3282 bruno     20   0 5707180 509808 169628 S   0,0   4,4   1:30.05 llvmpip+
   3283 bruno     20   0 5707180 509808 169628 S   0,0   4,4   1:32.16 llvmpip+
   3286 bruno     20   0 5707180 509808 169628 S   0,0   4,4   1:23.70 llvmpip+
   3287 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 gnome-s+
   3288 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 gnome-s+
   3289 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 gnome-s+
   3290 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 gnome-s+
   3291 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 gnome-s+
   3292 bruno     39  19 5707180 509808 169628 S   0,0   4,4   0:00.00 gnome-s+
   3303 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:06.62 Mutter +
   3394 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 gly-glo+
   3395 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 async-io
   3417 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 [pango]+
   3818 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 module-+
   5242 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 threade+
  19316 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 pool-157
  19317 bruno     20   0 5707180 509808 169628 S   0,0   4,4   0:00.00 pool-158
   3341 root       0 -20       0      0      0 I   0,0   0,0   0:00.00 kworker+
   3347 bruno     20   0  405960  22768  10552 S   0,0   0,2   0:00.00 at-spi-+
   3349 bruno     20   0  405960  22768  10552 S   0,0   0,2   0:00.00 pool-sp+
   3350 bruno     20   0  405960  22768  10552 S   0,0   0,2   0:00.00 gmain
   3351 bruno     20   0  405960  22768  10552 S   0,0   0,2   0:00.00 gdbus
   3352 bruno     20   0  405960  22768  10552 S   0,0   0,2   0:00.00 dconf w+
   3355 bruno     20   0    8452   4620   4104 S   0,0   0,0   0:00.10 dbus-da+
   3357 bruno     20   0  170632  10860   6116 S   0,0   0,1   0:00.06 at-spi2+
   3358 bruno     20   0  170632  10860   6116 S   0,0   0,1   0:00.00 pool-sp+
   3359 bruno     20   0  170632  10860   6116 S   0,0   0,1   0:00.00 gmain
   3360 bruno     20   0  170632  10860   6116 S   0,0   0,1   0:00.01 gdbus
   3373 bruno     20   0  681052  37188  17680 S   0,0   0,3   0:00.00 gnome-s+
   3376 bruno     20   0  681052  37188  17680 S   0,0   0,3   0:00.00 pool-sp+
   3377 bruno     20   0  681052  37188  17680 S   0,0   0,3   0:00.00 gmain
   3380 bruno     20   0  681052  37188  17680 S   0,0   0,3   0:00.00 gdbus
   3382 bruno     20   0  681052  37188  17680 S   0,0   0,3   0:00.00 dconf w+
   3383 bruno     20   0  681052  37188  17680 S   0,0   0,3   0:00.00 gnome-s+
   3679 bruno     20   0  681052  37188  17680 S   0,0   0,3   0:00.00 cal-cli+
   3384 bruno     20   0  640136  53580  33308 S   0,0   0,5   0:00.03 evoluti+
   3399 bruno     20   0  640136  53580  33308 S   0,0   0,5   0:00.00 pool-sp+
   3400 bruno     20   0  640136  53580  33308 S   0,0   0,5   0:00.00 gmain
   3402 bruno     20   0  640136  53580  33308 S   0,0   0,5   0:00.00 gdbus
   3424 bruno     20   0  640136  53580  33308 S   0,0   0,5   0:00.00 dconf w+
   3386 bruno     20   0 2754680  43840  18508 S   0,0   0,4   0:00.03 gjs
   3389 bruno     20   0 2754680  43840  18508 S   0,0   0,4   0:00.00 pool-sp+
   3390 bruno     20   0 2754680  43840  18508 S   0,0   0,4   0:00.00 gmain
   3391 bruno     20   0 2754680  43840  18508 S   0,0   0,4   0:00.00 gdbus
   3411 bruno     20   0 2754680  43840  18508 S   0,0   0,4   0:00.00 JS Help+
   3412 bruno     20   0 2754680  43840  18508 S   0,0   0,4   0:00.00 JS Help+
   3413 bruno     20   0 2754680  43840  18508 S   0,0   0,4   0:00.00 JS Help+
   3414 bruno     20   0 2754680  43840  18508 S   0,0   0,4   0:00.00 JS Help+
   3415 bruno     20   0 2754680  43840  18508 S   0,0   0,4   0:00.00 JS Help+
   3397 bruno     20   0  410000  27592  11372 S   0,0   0,2   0:01.23 ibus-da+
   3499 bruno     20   0  410000  27592  11372 S   0,0   0,2   0:00.00 pool-sp+
   3500 bruno     20   0  410000  27592  11372 S   0,0   0,2   0:00.00 gmain
   3527 bruno     20   0  410000  27592  11372 S   0,0   0,2   0:02.20 gdbus
   3406 bruno     20   0  278536  21556  13004 S   0,0   0,2   0:00.00 gsd-a11+
   3422 bruno     20   0  278536  21556  13004 S   0,0   0,2   0:00.00 gmain
   3430 bruno     20   0  278536  21556  13004 S   0,0   0,2   0:00.00 pool-sp+
   3453 bruno     20   0  278536  21556  13004 S   0,0   0,2   0:00.00 gdbus
   3541 bruno     20   0  278536  21556  13004 S   0,0   0,2   0:00.00 dconf w+
   3416 bruno     20   0  276224  21380  12908 S   0,0   0,2   0:00.02 gsd-col+
   3433 bruno     20   0  276224  21380  12908 S   0,0   0,2   0:00.00 pool-sp+
   3434 bruno     20   0  276224  21380  12908 S   0,0   0,2   0:00.00 gmain
   3449 bruno     20   0  276224  21380  12908 S   0,0   0,2   0:00.01 gdbus
   3502 bruno     20   0  276224  21380  12908 S   0,0   0,2   0:00.00 dconf w+
   3418 bruno     20   0  281668  22184  13552 S   0,0   0,2   0:00.00 gsd-dat+
   3447 bruno     20   0  281668  22184  13552 S   0,0   0,2   0:00.00 gmain
   3448 bruno     20   0  281668  22184  13552 S   0,0   0,2   0:00.00 pool-sp+
   3466 bruno     20   0  281668  22184  13552 S   0,0   0,2   0:00.01 gdbus
   3529 bruno     20   0  281668  22184  13552 S   0,0   0,2   0:00.00 dconf w+
   3419 bruno     20   0  416436  27516  13076 S   0,0   0,2   0:00.09 gsd-hou+
   3475 bruno     20   0  416436  27516  13076 S   0,0   0,2   0:00.00 gmain
   3476 bruno     20   0  416436  27516  13076 S   0,0   0,2   0:00.00 pool-sp+
   3479 bruno     20   0  416436  27516  13076 S   0,0   0,2   0:00.02 gdbus
   3552 bruno     20   0  416436  27516  13076 S   0,0   0,2   0:00.00 dconf w+
   3423 bruno     20   0  407848  23728  11456 S   0,0   0,2   0:00.00 gsd-key+
   3446 bruno     20   0  407848  23728  11456 S   0,0   0,2   0:00.00 pool-sp+
   3459 bruno     20   0  407848  23728  11456 S   0,0   0,2   0:00.00 gmain
   3471 bruno     20   0  407848  23728  11456 S   0,0   0,2   0:00.01 gdbus
   3519 bruno     20   0  407848  23728  11456 S   0,0   0,2   0:00.00 dconf w+
   3426 bruno     20   0  783256  37684  16192 S   0,0   0,3   0:00.04 gsd-med+
   3469 bruno     20   0  783256  37684  16192 S   0,0   0,3   0:00.00 pool-sp+
   3470 bruno     20   0  783256  37684  16192 S   0,0   0,3   0:00.00 gmain
   3474 bruno     20   0  783256  37684  16192 S   0,0   0,3   0:00.01 gdbus
   3550 bruno     20   0  783256  37684  16192 S   0,0   0,3   0:00.00 dconf w+
   3427 bruno     20   0  566904  30636  13724 S   0,0   0,3   0:00.02 gsd-pow+
   3467 bruno     20   0  566904  30636  13724 S   0,0   0,3   0:00.00 gmain
   3468 bruno     20   0  566904  30636  13724 S   0,0   0,3   0:00.00 pool-sp+
   3473 bruno     20   0  566904  30636  13724 S   0,0   0,3   0:00.02 gdbus
   3560 bruno     20   0  566904  30636  13724 S   0,0   0,3   0:00.00 dconf w+
   3436 bruno     20   0  331100  20548  10628 S   0,0   0,2   0:00.01 gsd-pri+
   3514 bruno     20   0  331100  20548  10628 S   0,0   0,2   0:00.00 gmain
   3515 bruno     20   0  331100  20548  10628 S   0,0   0,2   0:00.00 pool-sp+
   3525 bruno     20   0  331100  20548  10628 S   0,0   0,2   0:00.01 gdbus
   3441 bruno     20   0  458880  19916   6916 S   0,0   0,2   0:00.00 gsd-rfk+
   3495 bruno     20   0  458880  19916   6916 S   0,0   0,2   0:00.00 gmain
   3496 bruno     20   0  458880  19916   6916 S   0,0   0,2   0:00.00 pool-sp+
   3516 bruno     20   0  458880  19916   6916 S   0,0   0,2   0:00.00 gdbus
   3451 bruno     20   0  313764  15856   6896 S   0,0   0,1   0:00.00 gsd-dis+
   3456 bruno     20   0  313764  15856   6896 S   0,0   0,1   0:00.00 pool-sp+
   3457 bruno     20   0  313764  15856   6896 S   0,0   0,1   0:00.00 gmain
   3464 bruno     20   0  313764  15856   6896 S   0,0   0,1   0:00.00 gdbus
   3452 bruno     20   0  172108  11236   6540 S   0,0   0,1   0:00.00 gsd-scr+
   3477 bruno     20   0  172108  11236   6540 S   0,0   0,1   0:00.00 gmain
   3478 bruno     20   0  172108  11236   6540 S   0,0   0,1   0:00.00 pool-sp+
   3481 bruno     20   0  172108  11236   6540 S   0,0   0,1   0:00.01 gdbus
   3458 bruno     20   0  484920  27584  12944 S   0,0   0,2   0:00.00 gsd-sha+
   3533 bruno     20   0  484920  27584  12944 S   0,0   0,2   0:00.00 pool-sp+
   3534 bruno     20   0  484920  27584  12944 S   0,0   0,2   0:00.00 gmain
   3557 bruno     20   0  484920  27584  12944 S   0,0   0,2   0:00.01 gdbus
   3570 bruno     20   0  484920  27584  12944 S   0,0   0,2   0:00.00 dconf w+
   3462 bruno     20   0 1019496  84436  49540 S   0,0   0,7   0:00.09 evoluti+
   3562 bruno     20   0 1019496  84436  49540 S   0,0   0,7   0:00.00 [pango]+
   3563 bruno     20   0 1019496  84436  49540 S   0,0   0,7   0:00.00 pool-sp+
   3564 bruno     20   0 1019496  84436  49540 S   0,0   0,7   0:00.00 gmain
   3574 bruno     20   0 1019496  84436  49540 S   0,0   0,7   0:00.00 gdbus
   3597 bruno     20   0 1019496  84436  49540 S   0,0   0,7   0:00.00 dconf w+
   4002 bruno     20   0 1019496  84436  49540 S   0,0   0,7   0:00.00 evoluti+
   4016 bruno     20   0 1019496  84436  49540 S   0,0   0,7   0:00.00 cal-cli+
   3465 bruno     20   0  409312  24448  12088 S   0,0   0,2   0:00.00 gsd-sma+
   3521 bruno     20   0  409312  24448  12088 S   0,0   0,2   0:00.00 gmain
   3522 bruno     20   0  409312  24448  12088 S   0,0   0,2   0:00.00 pool-sp+
   3528 bruno     20   0  409312  24448  12088 S   0,0   0,2   0:00.01 gdbus
   3599 bruno     20   0  409312  24448  12088 S   0,0   0,2   0:00.00 dconf w+
   3482 bruno     20   0  280920  21368  12848 S   0,0   0,2   0:00.01 gsd-sou+
   3536 bruno     20   0  280920  21368  12848 S   0,0   0,2   0:00.00 gmain
   3537 bruno     20   0  280920  21368  12848 S   0,0   0,2   0:00.00 pool-sp+
   3556 bruno     20   0  280920  21368  12848 S   0,0   0,2   0:00.00 gdbus
   3579 bruno     20   0  280920  21368  12848 S   0,0   0,2   0:00.00 dconf w+
   3485 bruno     20   0  562352  29248  12568 S   0,0   0,3   0:00.00 gsd-usb+
   3531 bruno     20   0  562352  29248  12568 S   0,0   0,3   0:00.00 gmain
   3532 bruno     20   0  562352  29248  12568 S   0,0   0,3   0:00.00 pool-sp+
   3558 bruno     20   0  562352  29248  12568 S   0,0   0,3   0:00.01 gdbus
   3611 bruno     20   0  562352  29248  12568 S   0,0   0,3   0:00.00 dconf w+
   3490 bruno     20   0  672756  54036  28668 S   0,0   0,5   0:00.07 update-+
   3520 bruno     20   0  672756  54036  28668 S   0,0   0,5   0:00.00 [pango]+
   3523 bruno     20   0  672756  54036  28668 S   0,0   0,5   0:00.00 pool-sp+
   3524 bruno     20   0  672756  54036  28668 S   0,0   0,5   0:00.05 gmain
   3535 bruno     20   0  672756  54036  28668 S   0,0   0,5   0:00.00 gdbus
   3554 bruno     20   0  672756  54036  28668 S   0,0   0,5   0:00.00 dconf w+
   3491 bruno     20   0  413732  25580  13048 S   0,0   0,2   0:00.00 gsd-wwan
   3543 bruno     20   0  413732  25580  13048 S   0,0   0,2   0:00.00 gmain
   3544 bruno     20   0  413732  25580  13048 S   0,0   0,2   0:00.00 pool-sp+
   3559 bruno     20   0  413732  25580  13048 S   0,0   0,2   0:00.01 gdbus
   3600 bruno     20   0  413732  25580  13048 S   0,0   0,2   0:00.00 dconf w+
   3530 bruno     20   0  410476  25088  12644 S   0,0   0,2   0:00.01 gvfs-ud+
   3546 bruno     20   0  410476  25088  12644 S   0,0   0,2   0:00.00 pool-sp+
   3548 bruno     20   0  410476  25088  12644 S   0,0   0,2   0:00.00 gmain
   3549 bruno     20   0  410476  25088  12644 S   0,0   0,2   0:00.00 gdbus
   3586 bruno     20   0  410476  25088  12644 S   0,0   0,2   0:00.00 dconf w+
   3571 bruno     20   0  193036  16516  10512 S   0,0   0,1   0:00.00 ibus-me+
   3580 bruno     20   0  193036  16516  10512 S   0,0   0,1   0:00.00 pool-sp+
   3581 bruno     20   0  193036  16516  10512 S   0,0   0,1   0:00.00 gmain
   3603 bruno     20   0  193036  16516  10512 S   0,0   0,1   0:00.00 gdbus
   3575 bruno     20   0  529396  54020  24548 S   0,0   0,5   0:01.58 ibus-ex+
   3612 bruno     20   0  529396  54020  24548 S   0,0   0,5   0:00.00 [pango]+
   3616 bruno     20   0  529396  54020  24548 S   0,0   0,5   0:00.00 pool-sp+
   3617 bruno     20   0  529396  54020  24548 S   0,0   0,5   0:00.00 gmain
   3626 bruno     20   0  529396  54020  24548 S   0,0   0,5   0:00.35 gdbus
   3639 bruno     20   0  529396  54020  24548 S   0,0   0,5   0:00.00 dconf w+
   3585 bruno     20   0  333640  22608  10596 S   0,0   0,2   0:00.00 ibus-po+
   3589 bruno     20   0  333640  22608  10596 S   0,0   0,2   0:00.00 gmain
   3591 bruno     20   0  333640  22608  10596 S   0,0   0,2   0:00.00 pool-sp+
   3601 bruno     20   0  333640  22608  10596 S   0,0   0,2   0:00.00 gdbus
   3587 bruno     39  19  901844  46952  19460 S   0,0   0,4   0:00.09 localse+
   3619 bruno     39  19  901844  46952  19460 S   0,0   0,4   0:00.00 pool-sp+
   3620 bruno     39  19  901844  46952  19460 S   0,0   0,4   0:00.00 gmain
   3627 bruno     39  19  901844  46952  19460 S   0,0   0,4   0:00.02 gdbus
   3653 bruno     39  19  901844  46952  19460 S   0,0   0,4   0:00.00 Monitor+
   3656 bruno     39  19  901844  46952  19460 S   0,0   0,4   0:00.06 pool-2
   3701 bruno     39  19  901844  46952  19460 S   0,0   0,4   0:00.00 SPARQL +
   3703 bruno     39  19  901844  46952  19460 S   0,0   0,4   0:00.00 dconf w+
   3596 bruno     20   0  403108  20444   8784 S   0,0   0,2   0:00.00 gsd-pri+
   3613 bruno     20   0  403108  20444   8784 S   0,0   0,2   0:00.00 pool-sp+
   3614 bruno     20   0  403108  20444   8784 S   0,0   0,2   0:00.00 gmain
   3623 bruno     20   0  403108  20444   8784 S   0,0   0,2   0:00.00 gdbus
   3624 bruno     20   0  392288  18836   7504 S   0,0   0,2   0:00.00 gvfs-af+
   3649 bruno     20   0  392288  18836   7504 S   0,0   0,2   0:00.10 gvfs-af+
   3650 bruno     20   0  392288  18836   7504 S   0,0   0,2   0:00.00 pool-sp+
   3651 bruno     20   0  392288  18836   7504 S   0,0   0,2   0:00.00 gmain
   3655 bruno     20   0  392288  18836   7504 S   0,0   0,2   0:00.00 gdbus
   3631 bruno     20   0 2688876  41460  18504 S   0,0   0,4   0:00.02 gjs
   3643 bruno     20   0 2688876  41460  18504 S   0,0   0,4   0:00.00 pool-sp+
   3644 bruno     20   0 2688876  41460  18504 S   0,0   0,4   0:00.00 gmain
   3646 bruno     20   0 2688876  41460  18504 S   0,0   0,4   0:00.00 gdbus
   3658 bruno     20   0 2688876  41460  18504 S   0,0   0,4   0:00.00 JS Help+
   3659 bruno     20   0 2688876  41460  18504 S   0,0   0,4   0:00.00 JS Help+
   3660 bruno     20   0 2688876  41460  18504 S   0,0   0,4   0:00.00 JS Help+
   3661 bruno     20   0 2688876  41460  18504 S   0,0   0,4   0:00.00 JS Help+
   3662 bruno     20   0 2688876  41460  18504 S   0,0   0,4   0:00.00 JS Help+
   3648 bruno     20   0  478132  36428  21640 S   0,0   0,3   0:00.01 goa-dae+
   3664 bruno     20   0  478132  36428  21640 S   0,0   0,3   0:00.00 gmain
   3665 bruno     20   0  478132  36428  21640 S   0,0   0,3   0:00.00 pool-sp+
   3667 bruno     20   0  478132  36428  21640 S   0,0   0,3   0:00.00 gdbus
   3657 bruno     20   0  311516  15168   6228 S   0,0   0,1   0:00.00 gvfs-gp+
   3671 bruno     20   0  311516  15168   6228 S   0,0   0,1   0:00.00 pool-sp+
   3672 bruno     20   0  311516  15168   6228 S   0,0   0,1   0:00.00 gmain
   3674 bruno     20   0  311516  15168   6228 S   0,0   0,1   0:00.00 gdbus
   3670 bruno     20   0  555904  27748  11372 S   0,0   0,2   0:00.00 goa-ide+
   3676 bruno     20   0  555904  27748  11372 S   0,0   0,2   0:00.00 pool-sp+
   3677 bruno     20   0  555904  27748  11372 S   0,0   0,2   0:00.02 gmain
   3680 bruno     20   0  555904  27748  11372 S   0,0   0,2   0:00.00 gdbus
   3683 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.01 evoluti+
   3690 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.00 gmain
   3691 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.00 pool-sp+
   3692 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.00 gdbus
   3704 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.00 dconf w+
   3705 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.00 evoluti+
   3709 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.00 pool-2
   3711 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.00 pool-3
   3712 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.00 book-cl+
   4025 bruno     20   0  920620  52084  24036 S   0,0   0,4   0:00.00 pool-4
   3684 bruno     20   0  308928  14728   5908 S   0,0   0,1   0:00.00 gvfs-mt+
   3686 bruno     20   0  308928  14728   5908 S   0,0   0,1   0:00.00 pool-sp+
   3687 bruno     20   0  308928  14728   5908 S   0,0   0,1   0:00.00 gmain
   3689 bruno     20   0  308928  14728   5908 S   0,0   0,1   0:00.00 gdbus
   3693 bruno     20   0  308756  14556   5788 S   0,0   0,1   0:00.00 gvfs-go+
   3694 bruno     20   0  308756  14556   5788 S   0,0   0,1   0:00.00 pool-sp+
   3695 bruno     20   0  308756  14556   5788 S   0,0   0,1   0:00.00 gmain
   3696 bruno     20   0  308756  14556   5788 S   0,0   0,1   0:00.00 gdbus
   3698 bruno     20   0  219852  52740  39620 S   0,0   0,5   0:03.45 Xwayland
   3713 bruno     20   0  843240  49568  25656 S   0,0   0,4   0:00.01 evoluti+
   3716 bruno     20   0  843240  49568  25656 S   0,0   0,4   0:00.00 gmain
   3717 bruno     20   0  843240  49568  25656 S   0,0   0,4   0:00.00 pool-sp+
   3718 bruno     20   0  843240  49568  25656 S   0,0   0,4   0:00.00 gdbus
   3723 bruno     20   0  843240  49568  25656 S   0,0   0,4   0:00.00 dconf w+
   3724 bruno     20   0  843240  49568  25656 S   0,0   0,4   0:00.00 evoluti+
   3782 bruno     20   0  843240  49568  25656 S   0,0   0,4   0:00.00 pool-2
   3771 bruno     20   0  193088  17388  11348 S   0,0   0,1   0:00.34 ibus-en+
   3778 bruno     20   0  193088  17388  11348 S   0,0   0,1   0:00.00 pool-sp+
   3779 bruno     20   0  193088  17388  11348 S   0,0   0,1   0:00.00 gmain
   3781 bruno     20   0  193088  17388  11348 S   0,0   0,1   0:00.78 gdbus
   3789 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.76 gjs
   3794 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 pool-sp+
   3795 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 gmain
   3796 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.07 gdbus
   3797 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.05 JS Help+
   3798 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 JS Help+
   3799 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 JS Help+
   3800 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 JS Help+
   3801 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 JS Help+
   3832 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 [pango]+
   3837 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 dconf w+
   4033 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 gly-glo+
   4034 bruno     20   0 3291140  98500  51276 S   0,0   0,8   0:00.00 async-io
   3866 bruno     20   0  170024  10960   6264 S   0,0   0,1   0:00.01 gvfsd-m+
   3867 bruno     20   0  170024  10960   6264 S   0,0   0,1   0:00.00 pool-sp+
   3868 bruno     20   0  170024  10960   6264 S   0,0   0,1   0:00.00 gmain
   3869 bruno     20   0  170024  10960   6264 S   0,0   0,1   0:00.01 gdbus
   3914 bruno     20   0  167232  10172   5528 S   0,0   0,1   0:00.00 dconf-s+
   3927 bruno     20   0  167232  10172   5528 S   0,0   0,1   0:00.00 pool-sp+
   3928 bruno     20   0  167232  10172   5528 S   0,0   0,1   0:00.00 gmain
   3929 bruno     20   0  167232  10172   5528 S   0,0   0,1   0:00.00 gdbus
   3936 bruno     20   0  629704  29976  11676 S   0,0   0,3   0:00.00 gvfsd-t+
   3937 bruno     20   0  629704  29976  11676 S   0,0   0,3   0:00.00 pool-sp+
   3938 bruno     20   0  629704  29976  11676 S   0,0   0,3   0:00.00 gmain
   3939 bruno     20   0  629704  29976  11676 S   0,0   0,3   0:00.00 gdbus
   3942 bruno     20   0  629704  29976  11676 S   0,0   0,3   0:00.00 Trash W+
   3995 bruno     20   0  634492  34408  14676 S   0,0   0,3   0:00.02 xdg-des+
   3996 bruno     20   0  634492  34408  14676 S   0,0   0,3   0:00.06 gmain
   3997 bruno     20   0  634492  34408  14676 S   0,0   0,3   0:00.00 pool-sp+
   3998 bruno     20   0  634492  34408  14676 S   0,0   0,3   0:00.06 gdbus
   4116 bruno     20   0  634492  34408  14676 S   0,0   0,3   0:00.00 dconf w+
   4124 bruno     20   0  634492  34408  14676 S   0,0   0,3   0:00.00 module-+
  19343 bruno     20   0  634492  34408  14676 S   0,0   0,3   0:00.00 pool-80
  19344 bruno     20   0  634492  34408  14676 S   0,0   0,3   0:00.00 pool-81
  19345 bruno     20   0  634492  34408  14676 S   0,0   0,3   0:00.00 pool-82
   4006 bruno     20   0  626728  53460  30260 S   0,0   0,5   0:00.13 xdg-des+
   4010 bruno     20   0  626728  53460  30260 S   0,0   0,5   0:00.00 pool-sp+
   4011 bruno     20   0  626728  53460  30260 S   0,0   0,5   0:00.00 gmain
